model,fold,accuracy,f1,roc_auc
logreg,0,0.8166666666666667,0.7924528301886793,0.9006696428571428
logreg,1,0.7833333333333333,0.7636363636363637,0.875
logreg,2,0.7457627118644068,0.7272727272727273,0.8657407407407407
logreg,3,0.7966101694915254,0.76,0.8993055555555556
logreg,4,0.7796610169491526,0.723404255319149,0.9050925925925926
rf,0,0.8666666666666667,0.8620689655172413,0.9453125
rf,1,0.7833333333333333,0.7719298245614035,0.8995535714285714
rf,2,0.6779661016949152,0.6545454545454545,0.8425925925925926
rf,3,0.7796610169491526,0.7346938775510204,0.8865740740740741
rf,4,0.864406779661017,0.84,0.9166666666666666
