model,fold,accuracy,f1,roc_auc
logreg,0,0.85,0.8524590163934426,0.9397321428571428
rf,0,0.8833333333333333,0.8813559322033898,0.9341517857142858
logreg,1,0.8833333333333333,0.8727272727272727,0.9073660714285715
rf,1,0.8166666666666667,0.7924528301886793,0.9140625
logreg,2,0.7457627118644068,0.7457627118644068,0.8553240740740741
rf,2,0.7457627118644068,0.7272727272727273,0.8530092592592593
logreg,3,0.7796610169491526,0.7450980392156863,0.8715277777777778
rf,3,0.7796610169491526,0.7547169811320755,0.8634259259259258
logreg,4,0.7457627118644068,0.7540983606557377,0.8865740740740741
rf,4,0.7966101694915254,0.76,0.9201388888888888
