model,fold,sex,n,best_params
logreg,0,male,24,"{'clf__C': np.float64(0.01291549665014884), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,0,female,6,"{'clf__C': np.float64(7.742636826811277), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,1,male,25,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,1,female,5,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,2,male,21,"{'clf__C': np.float64(0.1668100537200059), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,2,female,9,"{'clf__C': np.float64(0.1668100537200059), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,3,male,17,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,3,female,13,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,4,male,18,"{'clf__C': np.float64(0.046415888336127795), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,4,female,12,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,5,male,18,"{'clf__C': np.float64(0.046415888336127795), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,5,female,12,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,6,male,18,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,6,female,12,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,7,male,24,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,7,female,5,"{'clf__C': np.float64(7.742636826811277), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,8,male,20,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}"
logreg,8,female,9,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,9,male,16,"{'clf__C': np.float64(0.046415888336127795), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
logreg,9,female,13,"{'clf__C': np.float64(0.046415888336127795), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}"
rf,0,male,24,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 50}"
rf,0,female,6,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 50}"
rf,1,male,25,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 100}"
rf,1,female,5,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 50}"
rf,2,male,21,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}"
rf,2,female,9,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 100}"
rf,3,male,17,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 50}"
rf,3,female,13,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 50}"
rf,4,male,18,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 50}"
rf,4,female,12,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 50}"
rf,5,male,18,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 100}"
rf,5,female,12,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 50}"
rf,6,male,18,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 50}"
rf,6,female,12,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 50}"
rf,7,male,24,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 100}"
rf,7,female,5,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}"
rf,8,male,20,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 50}"
rf,8,female,9,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}"
rf,9,male,16,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 50}"
rf,9,female,13,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}"
