model,fold,cluster,n_train,best_params
logreg,0,0,147,{'clf__C': 0.1}
logreg,0,1,90,{'clf__C': 10}
rf,0,0,147,"{'clf__max_depth': 5, 'clf__n_estimators': 200}"
rf,0,1,90,"{'clf__max_depth': None, 'clf__n_estimators': 400}"
logreg,1,0,141,{'clf__C': 10}
logreg,1,1,96,{'clf__C': 1}
rf,1,0,141,"{'clf__max_depth': 5, 'clf__n_estimators': 200}"
rf,1,1,96,"{'clf__max_depth': 5, 'clf__n_estimators': 400}"
logreg,2,0,127,{'clf__C': 0.1}
logreg,2,1,111,{'clf__C': 0.1}
rf,2,0,127,"{'clf__max_depth': 10, 'clf__n_estimators': 200}"
rf,2,1,111,"{'clf__max_depth': 5, 'clf__n_estimators': 400}"
logreg,3,0,100,{'clf__C': 0.1}
logreg,3,1,138,{'clf__C': 0.1}
rf,3,0,100,"{'clf__max_depth': 5, 'clf__n_estimators': 200}"
rf,3,1,138,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
logreg,4,0,104,{'clf__C': 0.01}
logreg,4,1,134,{'clf__C': 10}
rf,4,0,104,"{'clf__max_depth': 5, 'clf__n_estimators': 200}"
rf,4,1,134,"{'clf__max_depth': 5, 'clf__n_estimators': 400}"
