feature,median_rank_univariate,median_rank_mutual_info,median_rank_random_forest,mean_rank_across_methods,median_pvalue,frac_folds_in_consensus_bottom4,dropped_in_selected_set
thal,1.0,1.0,2.0,1.3333333333333333,1.4423372705739263e-16,0.0,False
cp,2.0,2.0,3.0,2.3333333333333335,5.9474381837696095e-15,0.0,False
ca,3.0,3.0,3.5,3.1666666666666665,7.424916132066603e-14,0.0,False
thalach,5.0,7.0,2.0,4.666666666666667,1.0462010463472386e-12,0.0,False
oldpeak,4.0,5.0,5.0,4.666666666666667,5.305661091026827e-13,0.0,False
exang,6.0,5.0,10.0,7.0,1.7404020591478644e-11,0.0,False
slope,7.0,7.0,9.0,7.666666666666667,5.258606541147039e-09,0.0,False
chol,12.0,6.5,7.0,8.5,0.21944677032198834,0.2,True
age,9.0,12.0,6.0,9.0,0.00018885201612834832,0.2,False
sex,8.0,9.0,11.0,9.333333333333334,8.48381582897476e-06,0.8,False
trestbps,10.0,10.5,8.0,9.5,0.013934960372029114,0.8,True
restecg,11.0,11.0,12.0,11.333333333333334,0.010546555182097685,1.0,True
fbs,13.0,12.0,13.0,12.666666666666666,0.9992123861723211,1.0,True
