model,fold,accuracy,f1,roc_auc,pr_auc,sensitivity,specificity,best_params,feature_set
logreg,0,0.8666666666666667,0.8571428571428571,0.84375,0.7510299433231764,0.8571428571428571,0.875,"{'clf__C': np.float64(0.1668100537200059), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,1,0.8666666666666667,0.8571428571428571,0.9553571428571428,0.961361737677527,0.8571428571428571,0.875,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,2,0.7333333333333333,0.7142857142857143,0.8080357142857143,0.818189270657758,0.7142857142857143,0.75,"{'clf__C': np.float64(0.1668100537200059), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,3,0.8333333333333334,0.8148148148148148,0.8080357142857142,0.8295325706039991,0.7857142857142857,0.875,"{'clf__C': np.float64(7.742636826811277), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}",selected
logreg,4,0.8,0.75,0.96875,0.9608861376718518,0.6428571428571429,0.9375,"{'clf__C': np.float64(7.742636826811277), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}",selected
logreg,5,0.7,0.64,0.8125,0.8072265269744261,0.5714285714285714,0.8125,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,6,0.9666666666666667,0.9629629629629629,0.9553571428571429,0.9702380952380951,0.9285714285714286,1.0,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,7,0.9655172413793104,0.9629629629629629,0.9903846153846154,0.9885883347421807,1.0,0.9375,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,8,0.7586206896551724,0.72,0.9326923076923077,0.9290128674744058,0.6923076923076923,0.8125,"{'clf__C': np.float64(2.1544346900318843), 'clf__l1_ratio': 0.0, 'clf__solver': 'liblinear'}",selected
logreg,9,0.9310344827586207,0.9230769230769231,0.9711538461538461,0.9695730363151176,0.9230769230769231,0.9375,"{'clf__C': np.float64(0.5994842503189409), 'clf__l1_ratio': 1.0, 'clf__solver': 'liblinear'}",selected
