model,fold,accuracy,f1,roc_auc,roc_auc_weighted_subgroups
logreg,0,0.8666666666666667,0.8571428571428571,0.9319196428571428,0.9578787878787878
logreg,1,0.7833333333333333,0.7636363636363637,0.875,0.8783471359558317
logreg,2,0.7457627118644068,0.7272727272727273,0.8645833333333334,0.8264093588798821
logreg,3,0.7796610169491526,0.7346938775510204,0.8912037037037037,0.8916538263995891
logreg,4,0.8135593220338984,0.7755102040816326,0.9155092592592593,0.871204531418626
rf,0,0.8666666666666667,0.8620689655172413,0.9436383928571428,0.9682828282828283
rf,1,0.7833333333333333,0.7719298245614035,0.9140625,0.8985208189556015
rf,2,0.6779661016949152,0.6545454545454545,0.8414351851851851,0.8060980103168756
rf,3,0.7966101694915254,0.75,0.8842592592592593,0.873959938366718
rf,4,0.8813559322033898,0.8627450980392157,0.9050925925925926,0.853943469554531
