model,fold,accuracy,f1,roc_auc,roc_auc_weighted_clusters
logreg,0,0.9166666666666666,0.9122807017543859,0.9363839285714286,0.7614719848053182
rf,0,0.8833333333333333,0.8813559322033898,0.9525669642857143,0.8310232668566002
logreg,1,0.8166666666666667,0.7924528301886793,0.8883928571428572,0.872606715061958
rf,1,0.75,0.7272727272727273,0.8571428571428571,0.8803086276232056
logreg,2,0.7796610169491526,0.7450980392156863,0.849537037037037,0.7690134724033029
rf,2,0.7457627118644068,0.7169811320754716,0.8234953703703705,0.7373243517311314
logreg,3,0.7966101694915254,0.76,0.8877314814814814,0.7940773544029566
rf,3,0.7627118644067796,0.7307692307692307,0.8686342592592593,0.7247594622148592
logreg,4,0.7627118644067796,0.75,0.8414351851851851,0.8629001883239171
rf,4,0.864406779661017,0.8333333333333334,0.9340277777777778,0.8853107344632767
