rq,comparison,model,metric,mean_diff,t_stat,t_p,wilcoxon_stat,wilcoxon_p,wins_x,wins_y,ties
RQ1,A vs B,logreg,accuracy,0.05711864406779661,3.310291193913106,0.02964636353108478,0.0,0.125,4,0,1
RQ1,A vs B,logreg,f1,0.06681442774142206,3.122047359378499,0.03545641848695166,0.0,0.125,4,0,1
RQ1,A vs B,logreg,roc_auc,0.013293650793650792,0.8883253950684816,0.4245576255966973,4.0,0.4375,3,2,0
RQ1,A vs B,rf,accuracy,0.01333333333333333,1.0784691398397084,0.3415190513651185,5.0,0.5625,4,1,0
RQ1,A vs B,rf,f1,0.005618226181998742,0.37656807910613643,0.7256182745450312,6.0,0.8125,3,2,0
RQ1,A vs B,rf,roc_auc,-0.0033151455026454446,-0.2680053206720197,0.8019481782692888,7.0,1.0,3,2,0
RQ2,A vs C,logreg,accuracy,0.027062146892655382,1.1704147213333855,0.30680741841518877,2.0,0.375,3,1,1
RQ2,A vs C,logreg,f1,0.02820134879305558,1.5108268543700196,0.20535641401094037,3.0,0.3125,3,2,0
RQ2,A vs C,logreg,roc_auc,0.021759259259259256,1.1486011831787355,0.3147357932294885,4.0,0.4375,3,2,0
RQ2,A vs C,rf,accuracy,0.013276836158192085,0.8658392428827139,0.4354218087509845,6.0,0.8125,3,2,0
RQ2,A vs C,rf,f1,0.01137540986772272,0.6635481901633278,0.543269096343628,7.0,1.0,3,2,0
RQ2,A vs C,rf,roc_auc,0.011330191798941769,1.032520548370988,0.36016508697679234,5.0,0.625,3,2,0
RQ3,B vs C,logreg,accuracy,-0.03005649717514123,-1.4999668766978402,0.20800814054452235,1.0,0.25,1,3,1
RQ3,B vs C,logreg,f1,-0.03861307894836648,-1.8450744605844323,0.13877947433339408,0.0,0.125,0,4,1
RQ3,B vs C,logreg,roc_auc,0.008465608465608464,0.5084045662354503,0.6379264548646107,6.0,0.8125,3,2,0
RQ3,B vs C,rf,accuracy,-5.649717514124575e-05,-0.00475350462483925,0.9964348883139694,5.0,1.0,2,2,1
RQ3,B vs C,rf,f1,0.005757183685723977,0.4406882946082439,0.6822083300831141,6.0,0.8125,2,3,0
RQ3,B vs C,rf,roc_auc,0.014645337301587213,1.278509623431215,0.27021249258659275,3.0,0.3125,3,2,0
