row_index,fold
0,3
1,0
2,0
3,3
4,4
5,1
6,0
7,2
8,0
9,1
10,0
11,3
12,0
13,1
14,3
15,4
16,3
17,0
18,2
19,0
20,2
21,0
22,2
23,4
24,1
25,0
26,4
27,4
28,3
29,1
30,0
31,4
32,2
33,2
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,4
43,3
44,2
45,1
46,1
47,0
48,4
49,3
50,4
51,2
52,1
53,1
54,2
55,1
56,2
57,4
58,3
59,0
60,3
61,3
62,2
63,1
64,1
65,3
66,1
67,1
68,4
69,3
70,2
71,0
72,3
73,1
74,2
75,2
76,2
77,0
78,4
79,2
80,2
81,3
82,4
83,4
84,1
85,2
86,0
87,4
88,2
89,3
90,1
91,0
92,2
93,2
94,4
95,1
96,0
97,0
98,0
99,2
100,4
101,3
102,1
103,0
104,0
105,4
106,2
107,4
108,3
109,0
110,3
111,4
112,1
113,1
114,1
115,3
116,4
117,1
118,3
119,0
120,4
121,2
122,2
123,2
124,0
125,2
126,0
127,2
128,3
129,0
130,3
131,3
132,2
133,1
134,2
135,2
136,1
137,2
138,0
139,1
140,2
141,3
142,0
143,0
144,3
145,3
146,0
147,3
148,2
149,1
150,2
151,4
152,0
153,0
154,2
155,3
156,1
157,0
158,4
159,4
160,3
161,1
162,4
163,1
164,2
165,1
166,1
167,3
168,2
169,3
170,4
171,3
172,4
173,3
174,1
175,4
176,4
177,4
178,1
179,3
180,4
181,1
182,0
183,0
184,4
185,4
186,1
187,3
188,3
189,4
190,3
191,1
192,2
193,1
194,2
195,2
196,1
197,1
198,1
199,0
200,1
201,2
202,4
203,0
204,1
205,3
206,0
207,3
208,3
209,2
210,2
211,3
212,2
213,4
214,4
215,2
216,0
217,3
218,0
219,1
220,1
221,3
222,4
223,0
224,0
225,3
226,1
227,1
228,2
229,2
230,2
231,4
232,0
233,4
234,1
235,4
236,1
237,1
238,3
239,1
240,4
241,4
242,1
243,4
244,0
245,4
246,1
247,1
248,2
249,2
250,0
251,1
252,4
253,4
254,1
255,4
256,2
257,0
258,4
259,1
260,4
261,0
262,3
263,2
264,4
265,3
266,4
267,3
268,0
269,3
270,0
271,2
272,2
273,3
274,3
275,4
276,2
277,0
278,3
279,2
280,3
281,3
282,4
283,3
284,0
285,4
286,2
287,4
288,2
289,1
290,3
291,3
292,1
293,3
294,4
295,0
296,4
